found_molecular_formula	found_inchi	found_pepmass	found_smiles	found_name	searched_smiles	searched_name	cosine_greedy_score
C19H15NO4	InChI=1S/C19H15NO4/c1-20-9-8-12-13-14(17(22)19(24-3)18(12)23-2)10-6-4-5-7-11(10)16(21)15(13)20/h4-9H,1-3H3	322.10738396	COC1=C(OC)c2cc[n+](C)c3c([O-])c4ccccc4c(c23)C1=O	KNSXQRFOQQXLSE	CCCCCCC/C=C(\C)/[C@H]([C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)O	Tumonoic acid A M+H	0.9825563
C20H16ClNO	InChI=1S/C20H16ClNO/c1-12-18(23-2)11-16-15-10-14(21)8-9-17(15)22-20(16)19(12)13-6-4-3-5-7-13/h3-11,22H,1-2H3	322.099317812	COc1cc2c([nH]c3ccc(Cl)cc32)c(-c2ccccc2)c1C	ZIOOMUSPLCJTQR	CCCCCCC/C=C(\C)/[C@H]([C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)O	Tumonoic acid A M+H	0.98095113
C26H24N2O4	InChI=1S/C26H24N2O4/c1-29-23-21(17-13-27-19-11-7-5-9-15(17)19)25(31-3)26(32-4)22(24(23)30-2)18-14-28-20-12-8-6-10-16(18)20/h5-14,27-28H,1-4H3	429.18088324800004	COc1c(OC)c(-c2c[nH]c3ccccc23)c(OC)c(OC)c1-c1c[nH]c2ccccc12	LXKDFRJCVQJIIM	C[C@H]1[C@@H](OC(=O)CNC(=O)[C@@H](N(C(=O)[C@@H](NC(=O)CC1=C)C)C)C(C)C)/C(=C/C(=C/C(C)(C)C)/C)/C	Antillatoxin A M+H	0.97990847
C15H21N	InChI=1S/C15H21N/c1-10-5-6-12-13(16-10)9-11-7-8-15(12,4)14(11,2)3/h5-6,11H,7-9H2,1-4H3	216.174675672	Cc1ccc2c(n1)CC1CCC2(C)C1(C)C	BGCPDKKBYLHBFS	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.9791386
C12H12N4	InChI=1S/C12H12N4/c1-7-6-9-8(4-3-5-14-9)10-11(7)16(2)12(13)15-10/h3-6H,1-2H3,(H2,13,15)	213.113472384	Cc1cc2ncccc2c2[nH]c(=N)n(C)c12	GMGWMIJIGUYNAY	CC[C@H]1[C@@H]2C[C@H]3[C@@H]([C@H]2/C=C\C/C=C\CCCCC(=O)O1)O3	Ecklonialactone_A M+H	0.97701067
C19H17NO4	InChI=1S/C19H17NO4/c1-20-7-6-9-8-12(23-3)19-15-13(9)16(20)17(21)10-4-5-11(22-2)18(24-19)14(10)15/h4-5,8,21H,6-7H2,1-3H3	324.123034024	COc1ccc2c(O)c3c4c(cc(OC)c5oc1c2c54)CCN3C	MLBFWLHQNCGZAK	CCCCCCCCC(C)[C@@H]([C@H](C)C(=O)N1CCC[C@H]1C(=O)O)OC(=O)C	Tumonoic_acid_F M+H	0.9767487
C16H10O5	InChI=1S/C16H10O5/c1-19-9-3-5-10-13(7-9)20-15-11-4-2-8(17)6-12(11)21-16(18)14(10)15/h2-7,17H,1H3	283.06009942	COc1ccc2c(c1)oc1c3ccc(O)cc3oc(=O)c21	HHEZPZWGHDOWCQ	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.97503686
C17H14O4	InChI=1S/C17H14O4/c1-9-15(19)10(2)17-14(16(9)20)12(18)8-13(21-17)11-6-4-3-5-7-11/h3-8,19-20H,1-2H3	283.096484928	Cc1c(O)c(C)c2oc(-c3ccccc3)cc(=O)c2c1O	IHCSYRDYLHMMRU	CC[C@@H](C)C(=O)N(C)CC[C@@H](C)C[C@H](C)[C@H](C)CC1=N[C@@H](CS1)C=C	Kalkitoxin M+H	0.974338
C12H9NO3	InChI=1S/C12H9NO3/c1-15-11-7-3-2-4-9(14)10(7)13-12-8(11)5-6-16-12/h2-6,14H,1H3	216.065519148	COc1c2ccoc2nc2c(O)cccc12	VGVNNMLKTSWBAR	C/C=C(/C)\C(=O)OCC1=NC=CC2=C1C(=O)C(=C(C2=O)C)OC	Renierone M+H	0.9729592
C20H14O6	InChI=1S/C20H14O6/c1-23-9-3-5-11-13(7-9)25-19-15(11)17(21)16-12-6-4-10(24-2)8-14(12)26-20(16)18(19)22/h3-8,21-22H,1-2H3	351.08631416800006	COc1ccc2c(c1)oc1c(O)c3oc4cc(OC)ccc4c3c(O)c12	PUGIMQSQNACVOD	N/A	Kalkitoxin_thioamide_alcohol M+H	0.9722473
